,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,欣技資訊股份有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,試算表(IFRS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
製表日期：,14/03/14,,17:44:31,,,幣別：,NTD,,,,,單    位：,元,,,,,,期    間：2013/01-2013/12,,,,,,,製表者：,tiptop,,頁次：,,1/15,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,期初餘額,,,,,,本期異動,,,,,,異動筆數,,,,期末餘額,,,,,,,,
科目名?,,,,,,,,,借方,,貸方,,,,借方,,,貸方,,,借方,貸方,,,借方,,,貸方,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
備抵呆帳-應收關係人票據-賽弗萊,,,,,,,,,0,,0,,,,0,,,0,,,0,0,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
備抵呆帳-應收關係人票據-DACH,,,,,,,,,0,,0,,,,0,,,0,,,0,0,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應收帳款,,,,,,,,,"193,078,134",,0,,,,"2,106,468,969",,,"2,125,093,968",,,"2,148","2,411",,,"174,453,135.00",,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
暫估應收帳款,,,,,,,,,0,,0,,,,0,,,0,,,0,0,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
備抵呆帳-應收帳款、分期帳款及租賃款,,,,,,,,,0,,"1,014,385",,,,"5,992,767",,,"6,584,883",,,8,5,,,0.00,,,"1,606,501.00",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應收帳款-關係人-USA,,,,,,,,,"63,100,075",,0,,,,"125,693,834",,,"141,581,089",,,63,76,,,"47,212,820.00",,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應收帳款-關係人-賽弗萊,,,,,,,,,"55,252,216",,0,,,,"113,494,831",,,"111,444,738",,,71,75,,,"57,302,309.00",,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應收帳款-關係人-DACH,,,,,,,,,0,,0,,,,0,,,0,,,0,0,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應收帳款-關係人-醫電,,,,,,,,,"3,411,969",,0,,,,"10,148,863",,,"9,897,808",,,97,102,,,"3,663,024.00",,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應收帳款-關係人-智碁,,,,,,,,,0,,0,,,,0,,,0,,,0,0,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應收帳款-關係人-欣晉,,,,,,,,,0,,0,,,,0,,,0,,,0,0,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
備抵呆帳-應收關係人帳款、分期帳款及租賃款-USA,,,,,,,,,0,,0,,,,0,,,0,,,0,0,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
備抵呆帳-應收關係人帳款、分期帳款及租賃款-賽弗萊,,,,,,,,,0,,0,,,,0,,,0,,,0,0,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
備抵呆帳-應收關係人帳款、分期帳款及租賃款-DACH,,,,,,,,,0,,0,,,,0,,,0,,,0,0,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
備抵呆帳-應收關係人帳款、分期帳款及租賃款-智碁,,,,,,,,,0,,0,,,,0,,,0,,,0,0,,,0.00,,,0.00,,,,,
